Submission A,Submission B,Jaccard,Containment,Metric Similarity,Shared Fingerprints,Fingerprints A,Fingerprints B,Matched Regions
s001,s002,1.0000,1.0000,1.0000,120,120,120,1
s007,s010,0.8372,1.0000,0.9627,67,105,95,1
s001,s004,0.5316,0.8473,0.9683,61,120,139,2
s002,s004,0.5316,0.8473,0.9683,61,120,139,2
s007,s008,0.3299,0.7692,0.9220,47,105,221,2
s001,s007,0.4444,0.6985,0.9490,36,120,105,3
s002,s007,0.4444,0.6985,0.9490,36,120,105,3
s001,s010,0.4030,0.6606,0.9233,35,120,95,3
s002,s010,0.4030,0.6606,0.9233,35,120,95,3
s001,s005,0.3977,0.6545,0.9654,57,120,194,2
s002,s005,0.3977,0.6545,0.9654,57,120,194,2
s008,s010,0.3608,0.6126,0.9335,48,221,95,2
s001,s008,0.2857,0.6000,0.9477,34,120,221,3
s002,s008,0.2857,0.6000,0.9477,34,120,221,3
s007,s009,0.3026,0.5641,0.8879,22,105,122,1
s004,s010,0.2976,0.5229,0.9473,34,139,95,2
s005,s007,0.3012,0.5130,0.9160,34,194,105,2
s009,s010,0.2750,0.5000,0.8996,23,122,95,2
s005,s010,0.2759,0.4941,0.9495,33,194,95,2
s004,s005,0.3143,0.4857,0.9700,55,139,194,1
s008,s012,0.0577,0.4688,0.9072,2,221,270,0
s004,s007,0.3250,0.4568,0.9439,35,139,105,2
s004,s008,0.2422,0.4429,0.9456,33,139,221,2
s008,s009,0.1783,0.4387,0.8818,20,221,122,2
s001,s009,0.2000,0.4286,0.9180,19,120,122,3
s002,s009,0.2000,0.4286,0.9180,19,120,122,3
s005,s008,0.2197,0.4103,0.9655,32,194,221,2
s003,s008,0.2063,0.3750,0.9511,24,158,221,2
s005,s009,0.1491,0.3031,0.9199,19,194,122,3
s001,s003,0.1753,0.3020,0.9047,17,120,158,1
s002,s003,0.1753,0.3020,0.9047,17,120,158,1
s004,s009,0.1727,0.2765,0.9531,19,139,122,2
